table_schema,table_name,table_comment,column_count
public,addresses,,18
public,campaigns,,17
public,cart_items,,10
public,carts,,5
public,categories,,6
public,contact_messages,,8
public,contacts,,13
public,coupons,,17
public,email_verifications,,7
public,favorites,,4
public,global_allowed_payment_methods,,1
public,gmail_tokens,,3
public,notification_reads,ユーザーごとの通知既読状態,4
public,notification_targets,通知の配信対象（ユーザー単位 / ロール単位 / 全体）,6
public,notifications,お知らせ（全体・ロール別・個別ユーザー向け）,10
public,option_labels,,8
public,order_addresses,,14
public,order_groups,,6
public,order_items,,8
public,orders,,33
public,partner_allowed_payment_methods,,4
public,partner_date_availabilities,,8
public,partner_weekday_availabilities,,8
public,partners,取引先（主に飲食店などの法人・団体・個人事業主）,30
public,password_reset_tokens,,6
public,payments,,8
public,product_images,,12
public,product_popularity_stats,,10
public,product_reviews,,9
public,product_specs,,6
public,product_tags,,2
public,products,,20
public,r2_assets,,8
public,seller_profile_values,,2
public,seller_profiles,,13
public,seller_shipping_rules,,10
public,seller_value_tags,,3
public,shipments,,9
public,tags,,5
public,user_allowed_payment_methods,,5
public,user_recent_products,,3
public,users,,20
